DATE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2020-01-09 09:00,79.97,82.26,79.90,82.43,79.20,82.65,76.15,85.35,79.85
2020-01-10 09:00,78.98,81.21,78.91,81.37,78.20,81.60,75.20,84.25,78.86
2020-03-07 09:00,78.09,80.30,78.03,80.46,77.35,80.70,74.35,83.30,77.97
2020-03-09 09:00,79.13,81.43,79.07,81.59,78.35,81.85,75.35,84.50,79.01
2020-03-10 09:00,0.00,0.00,78.30,80.79,77.60,81.00,74.60,83.65,78.24
2020-03-11 09:00,79.82,82.11,79.75,82.27,79.05,82.50,76.00,85.20,79.70
2020-04-07 09:00,0.00,0.00,77.86,80.29,77.15,80.55,74.15,83.15,77.80
2020-04-09 09:00,79.58,81.88,79.51,82.05,78.80,82.30,75.75,84.95,79.46
2020-04-11 09:00,80.62,82.94,80.55,83.11,79.85,83.35,76.75,86.05,80.50
2020-05-09 09:00,0.00,0.00,78.98,81.50,78.30,81.75,75.30,84.40,78.92
2020-06-02 16:00,77.10,79.26,77.04,79.41,76.35,79.65,73.40,82.25,76.98
2020-06-03 10:00,77.13,79.29,77.07,79.44,76.40,79.70,73.45,82.30,77.01
2020-06-04 09:00,77.47,79.62,77.41,79.78,76.75,80.00,73.80,82.60,77.35
2020-06-05 09:00,77.80,80.01,77.74,80.17,77.05,80.40,74.10,83.00,77.68
2020-06-06 09:00,0.00,0.00,77.40,79.77,76.70,80.00,73.75,82.60,77.35
2020-06-08 10:00,77.53,79.64,77.47,79.80,76.80,80.05,73.85,82.65,77.41
2020-06-09 10:00,77.74,79.87,77.68,80.03,77.00,80.25,74.05,82.85,77.62
2020-06-10 09:00,78.35,80.55,78.29,80.71,77.60,80.95,74.60,83.60,78.23
2020-06-11 09:00,79.11,81.38,79.04,81.54,78.35,81.80,75.35,84.45,78.99
2020-06-12 09:00,79.38,81.65,79.32,81.81,78.60,82.05,75.55,84.70,79.26
2020-06-16 09:50,78.86,81.06,78.80,81.22,78.10,81.45,75.10,84.10,78.74
2020-06-16 13:30,79.14,81.35,79.08,81.51,78.40,81.75,75.40,84.40,79.02
2020-06-17 09:50,79.20,81.36,79.13,81.52,78.45,81.75,75.40,84.40,79.08
2020-06-18 09:50,79.15,81.36,79.09,81.52,78.40,81.75,75.40,84.40,79.03
2020-06-19 09:50,79.13,81.34,79.07,81.50,78.35,81.75,75.35,84.40,79.01
2020-06-20 10:00,0.00,0.00,78.95,81.32,78.25,81.55,75.25,84.20,78.89
2020-06-22 10:00,79.04,81.25,78.98,81.41,78.30,81.65,75.30,84.30,78.92
