DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,19.03,20.10,0.00,0.00,18.50,20.40
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,19.12,20.14,19.11,20.18,0.00,0.00,18.60,20.50
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,19.03,20.05,19.02,20.09,0,0,18.5,20.4
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,19.11,20.13,19.09,20.17,0,018.55,20.45,19.08
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,18.83,19.84,18.81,19.88,0,0,18.3,20.15
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,18.8,19.81,18.79,19.85,0,018.25,20.15,18.77
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,18.84,19.85,18.83,19.89,0,0,18.3,20.2
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,18.84,19.85,18.82,19.88,0,0,18.3,20.2
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,18.83,19.89,0,0,18.3,20.2
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,18.86,19.87,18.85,19.91,0,0,18.3,20.2
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,18.89,19.9,18.87,19.94,0,018.35,20.25,18.86
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,18.88,19.9,18.87,19.93,0,018.35,20.25,18.85
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,18.9,19.91,18.88,19.95,0,018.35,20.25,18.87
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,18.93,19.94,18.91,19.98,0,0,18.4,20.3
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,18.96,19.98,18.95,20.01,0,018.45,20.3,18.93
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,18.95,19.96,18.93,20,0,0,18.4,20.3
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,18.9,19.91,18.89,19.95,0,018.35,20.25,18.87
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,18.95,19.96,18.93,20,0,0,18.4,20.3
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,18.96,19.98,18.95,20.02,0,018.45,20.3,18.93
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,18.95,20.01,0.00,0.00,18.45,20.30
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,19.00,20.02,18.99,20.06,0.00,0.00,18.45,20.35
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,18.91,19.92,18.89,19.96,0.00,0.00,18.35,20.25
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,18.90,19.91,18.88,19.95,0.00,0.00,18.35,20.25
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,18.91,19.92,18.89,19.96,0.00,0.00,18.35,20.25
