DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,49.08,50.89,49.10,51.05,47.20,52.70
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,49.26,50.90,49.22,51.00,49.25,51.15,47.35,52.80
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,49,50.63,48.96,50.73,48.95,50.9,47.05,52.55
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,48.72,50.35,48.68,50.45,48.7,50.6,46.8,52.25
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,48.04,49.69,48,49.79,48.05,49.95,46.2,51.55
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,48.26,49.87,48.22,49.97,48.25,50.1,46.4,51.75
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,48.22,49.87,48.18,49.97,48.2,50.1,46.35,51.75
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,48.21,49.82,48.17,49.92,48.15,50.05,46.3,51.7
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,48,49.79,48.05,49.95,46.2,51.55
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,48.17,49.82,48.13,49.92,48.15,50.05,46.3,51.7
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,48.12,49.74,48.08,49.84,48.1,50,46.25,51.65
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,47.94,49.55,47.9,49.65,47.95,49.8,46.1,51.4
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,48.19,49.85,48.15,49.94,48.2,50.1,46.35,51.75
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,48.08,49.7,48.04,49.8,48.05,49.95,46.2,51.55
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,47.89,49.54,47.85,49.64,47.9,49.8,46.05,51.4
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,47.49,49.1,47.45,49.2,47.5,49.35,45.65,50.95
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,47.53,49.14,47.49,49.23,47.5,49.4,45.65,51
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,47.36,48.97,47.32,49.06,47.35,49.2,45.5,50.8
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,47.25,48.86,47.22,48.96,47.25,49.1,45.45,50.7
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,47.03,48.81,47.05,48.95,45.25,50.55
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,47.17,48.78,47.13,48.87,47.15,49.00,45.35,50.60
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,47.15,48.76,47.11,48.85,47.15,49.00,45.35,50.60
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,47.24,48.88,47.20,48.97,47.25,49.10,45.45,50.70
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,47.36,48.97,47.32,49.07,47.35,49.20,45.50,50.80
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,47.16,48.77,47.12,48.86,47.15,49.00,45.35,50.60
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,47.22,48.86,47.18,48.95,47.10,49.10,45.30,50.70
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,47.01,48.65,46.97,48.74,47.00,48.90,45.20,50.50
