DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,54.50,56.01,54.00,56.20,51.90,58.05
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,54.86,56.20,54.82,56.32,54.35,56.50,52.25,58.35
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,54.67,56.01,54.63,56.12,54.15,56.3,52.05,58.15
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,54.8,56.16,54.76,56.27,54.25,56.45,52.15,58.3
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,53.63,54.97,53.58,55.07,53.1,55.25,51.05,57.05
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,53.66,54.97,53.61,55.08,53.15,55.25,51.1,57.05
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,53.73,55.05,53.68,55.15,53.2,55.3,51.15,57.1
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,53.75,55.09,53.71,55.2,53.2,55.35,51.15,57.15
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,53.66,55.13,53.15,55.3,51.1,57.1
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,53.77,55.09,53.72,55.19,53.25,55.35,51.2,57.15
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,53.88,55.2,53.83,55.31,53.35,55.45,51.3,57.25
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,53.75,55.08,53.7,55.19,53.2,55.35,51.15,57.15
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,53.49,54.79,53.44,54.9,52.95,55.05,50.9,56.85
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,53.69,55,53.64,55.1,53.15,55.25,51.1,57.05
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,53.66,54.97,53.62,55.08,53.15,55.25,51.1,57.05
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,53.5,54.82,53.45,54.93,52.95,55.1,50.9,56.9
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,53.5,54.8,53.45,54.91,52.95,55.1,50.9,56.9
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,53.44,54.76,53.4,54.87,52.9,55.05,50.85,56.85
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,53.49,54.79,53.44,54.9,52.95,55.05,50.9,56.85
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,53.32,54.76,52.85,54.95,50.80,56.75
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,53.43,54.75,53.39,54.86,52.90,55.00,50.85,56.80
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,52.99,54.30,52.95,54.40,52.45,54.55,50.45,56.30
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,52.95,54.23,52.90,54.34,52.45,54.50,50.45,56.25
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,52.99,54.30,52.95,54.40,52.45,54.55,50.45,56.30
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,53.03,54.31,52.98,54.42,52.50,54.60,50.50,56.35
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,53.18,54.43,53.14,54.54,52.65,54.70,50.60,56.50
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,52.93,54.22,52.89,54.32,52.40,54.50,50.40,56.25
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,53.01,54.32,52.96,54.42,52.50,54.60,50.50,56.35
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,53.26,54.55,53.21,54.65,52.75,54.80,50.70,56.60
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,53.15,54.46,53.10,54.57,52.60,54.75,50.55,56.55
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,53.24,54.70,52.75,54.85,50.70,56.65
