DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,72.71,74.96,72.05,75.20,69.25,77.65
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,73.22,75.29,73.16,75.44,72.50,75.65,69.70,78.10
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,73,75.06,72.94,75.21,72.3,75.45,69.5,77.9
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,73.25,75.31,73.19,75.46,72.55,75.7,69.75,78.15
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,71.73,73.76,71.67,73.9,71.05,74.15,68.3,76.55
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,71.85,73.89,71.79,74.03,71.15,74.25,68.4,76.65
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,72.41,74.47,72.35,74.61,71.7,74.85,68.95,77.3
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,72.54,74.56,72.48,74.71,71.85,74.95,69.1,77.4
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,72.27,74.53,71.65,74.75,68.9,77.2
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,72.46,74.47,72.39,74.62,71.75,74.85,69,77.3
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,72.55,74.6,72.49,74.75,71.85,74.95,69.1,77.4
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,72.39,74.44,72.33,74.58,71.7,74.8,68.95,77.25
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,72.56,74.62,72.5,74.76,71.85,75,69.1,77.45
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,72.59,74.6,72.53,74.75,71.9,74.95,69.15,77.4
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,72.61,74.62,72.55,74.77,71.9,75,69.15,77.45
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,72.59,74.64,72.53,74.78,71.9,75,69.15,77.45
