DATE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2019-08-11 09:00,0.00,0.00,10.10,10.33,0.00,0.00,0.00,0.00,0.00
2019-11-30 09:00,0.00,0.00,10.10,10.33,0.00,0.00,0.00,0.00,0.00
2019-12-13 09:00,0.00,0.00,10.02,10.25,0.00,0.00,0.00,0.00,0.00
2020-01-09 09:00,0.00,0.00,10.60,10.84,0.00,0.00,0.00,0.00,0.00
2020-01-10 09:00,0.00,0.00,10.73,10.97,0.00,0.00,0.00,0.00,0.00
2020-02-27 09:00,0.00,0.00,10.10,10.33,0.00,0.00,0.00,0.00,0.00
2020-02-28 12:05,0.00,0.00,10.18,10.41,0.00,0.00,0.00,0.00,0.00
2020-03-02 09:00,0.00,0.00,10.10,10.33,0.00,0.00,0.00,0.00,0.00
2020-03-07 09:00,0.00,0.00,10.50,10.72,0.00,0.00,0.00,0.00,0.00
2020-03-09 09:00,0.00,0.00,10.63,10.87,0.00,0.00,0.00,0.00,0.00
2020-03-10 09:00,0.00,0.00,10.67,10.91,0.00,0.00,0.00,0.00,0.00
2020-03-11 09:00,0.00,0.00,11.00,11.24,0.00,0.00,0.00,0.00,0.00
2020-03-30 10:13,0.00,0.00,10.52,10.76,0.00,0.00,0.00,0.00,0.00
2020-03-31 10:13,0.00,0.00,10.54,10.77,0.00,0.00,0.00,0.00,0.00
2020-04-04 10:40,0.00,0.00,10.65,10.88,0.00,0.00,0.00,0.00,0.00
2020-04-07 09:00,0.00,0.00,10.47,10.70,0.00,0.00,0.00,0.00,0.00
2020-04-09 09:00,0.00,0.00,10.63,10.86,0.00,0.00,0.00,0.00,0.00
2020-04-11 09:00,0.00,0.00,11.03,11.28,0.00,0.00,0.00,0.00,0.00
2020-04-13 10:20,0.00,0.00,10.72,10.95,0.00,0.00,0.00,0.00,0.00
2020-04-20 10:25,0.00,0.00,10.69,10.92,0.00,0.00,0.00,0.00,0.00
2020-04-29 09:00,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-04-30 09:00,0.00,0.00,10.54,10.77,0.00,0.00,0.00,0.00,0.00
2020-05-09 09:00,0.00,0.00,10.59,10.83,0.00,0.00,0.00,0.00,0.00
2020-05-12 09:00,0.00,0.00,10.57,10.79,0.00,0.00,0.00,0.00,0.00
2020-05-30 10:00,0.00,0.00,10.49,10.72,0.00,0.00,0.00,0.00,0.00
2020-06-02 16:00,0.00,0.00,10.47,10.70,0.00,0.00,0.00,0.00,0.00
2020-06-03 10:00,0.00,0.00,10.46,10.69,0.00,0.00,0.00,0.00,0.00
2020-06-04 09:00,0.00,0.00,10.50,10.72,0.00,0.00,0.00,0.00,0.00
2020-06-05 09:00,0.00,0.00,10.51,10.73,0.00,0.00,0.00,0.00,0.00
2020-06-06 09:00,0.00,0.00,10.57,10.80,0.00,0.00,0.00,0.00,0.00
2020-06-08 10:00,0.00,0.00,10.57,10.80,0.00,0.00,0.00,0.00,0.00
2020-06-09 10:00,0.00,0.00,10.57,10.79,0.00,0.00,0.00,0.00,0.00
2020-06-10 09:00,0.00,0.00,10.57,10.80,0.00,0.00,0.00,0.00,0.00
2020-06-11 09:00,0.00,0.00,10.61,10.84,0.00,0.00,0.00,0.00,0.00
2020-06-12 09:00,0.00,0.00,10.63,10.86,0.00,0.00,0.00,0.00,0.00
2020-06-16 09:50,0.00,0.00,10.62,10.85,0.00,0.00,0.00,0.00,0.00
2020-06-16 13:30,0.00,0.00,10.64,10.87,0.00,0.00,0.00,0.00,0.00
2020-06-17 09:50,0.00,0.00,10.65,10.88,0.00,0.00,0.00,0.00,0.00
2020-06-18 09:50,0.00,0.00,10.66,10.89,0.00,0.00,0.00,0.00,0.00
2020-06-19 09:50,0.00,0.00,10.66,10.89,0.00,0.00,0.00,0.00,0.00
2020-06-20 10:00,0.00,0.00,10.68,10.91,0.00,0.00,0.00,0.00,0.00
2020-06-22 10:00,0.00,0.00,10.66,10.89,0.00,0.00,0.00,0.00,0.00
2020-06-23 10:00,0.00,0.00,10.61,10.85,0.00,0.00,0.00,0.00,0.00
2020-06-24 10:00,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-06-25 09:50,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-06-26 10:00,0.00,0.00,10.57,10.80,0.00,0.00,0.00,0.00,0.00
2020-06-29 10:00,0.00,0.00,10.58,10.81,0.00,0.00,0.00,0.00,0.00
2020-06-30 10:00,0.00,0.00,10.58,10.80,0.00,0.00,0.00,0.00,0.00
2020-07-01 10:00,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-07-02 09:50,0.00,0.00,10.58,10.81,0.00,0.00,0.00,0.00,0.00
2020-07-02 14:20,0.00,0.00,10.49,10.71,0.00,0.00,0.00,0.00,0.00
2020-07-13 09:50,0.00,0.00,10.64,10.87,0.00,0.00,0.00,0.00,0.00
2020-07-14 09:50,0.00,0.00,10.63,10.86,0.00,0.00,0.00,0.00,0.00
2020-07-15 10:00,0.00,0.00,10.66,10.89,0.00,0.00,0.00,0.00,0.00
2020-07-16 10:00,0.00,0.00,10.64,10.87,0.00,0.00,0.00,0.00,0.00
2020-07-17 09:50,0.00,0.00,10.64,10.87,0.00,0.00,0.00,0.00,0.00
2020-07-18 09:50,0.00,0.00,10.62,10.85,0.00,0.00,0.00,0.00,0.00
2020-07-20 09:00,0.00,0.00,10.62,10.85,0.00,0.00,0.00,0.00,0.00
2020-07-21 10:00,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-07-22 10:00,0.00,0.00,10.60,10.83,0.00,0.00,0.00,0.00,0.00
2020-07-23 10:00,0.00,0.00,10.55,10.78,0.00,0.00,0.00,0.00,0.00
2020-07-24 10:00,0.00,0.00,10.57,10.80,0.00,0.00,0.00,0.00,0.00
2020-07-27 09:50,0.00,0.00,10.57,10.79,0.00,0.00,0.00,0.00,0.00
2020-07-27 13:30,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-07-28 09:50,0.00,0.00,10.58,10.81,0.00,0.00,0.00,0.00,0.00
2020-07-29 09:50,0.00,0.00,10.58,10.81,0.00,0.00,0.00,0.00,0.00
2020-07-30 09:50,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-07-31 09:50,0.00,0.00,10.59,10.82,0.00,0.00,0.00,0.00,0.00
2020-08-03 10:00,0.00,0.00,10.64,10.87,0.00,0.00,0.00,0.00,0.00
2020-08-04 10:00,0.00,0.00,10.67,10.90,0.00,0.00,0.00,0.00,0.00
2020-08-05 10:00,0.00,0.00,10.67,10.90,0.00,0.00,0.00,0.00,0.00
2020-08-06 10:00,0.00,0.00,10.67,10.90,0.00,0.00,0.00,0.00,0.00
2020-08-07 09:00,0.00,0.00,10.58,10.82,0.00,0.00,0.00,0.00,0.00
