DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,79.02,81.27,78.35,81.55,77.95,81.75
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,79.46,81.53,79.39,81.69,78.70,81.95,78.30,82.15
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,79.27,81.34,79.21,81.49,78.5,81.75,78.1,81.95
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,79.33,81.36,79.27,81.52,78.55,81.75,78.15,81.95
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,77.71,79.75,77.64,79.91,76.95,80.15,76.55,80.35
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,77.85,79.89,77.78,80.05,77.1,80.3,76.7,80.5
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,78.05,80.06,77.98,80.22,77.3,80.45,76.9,80.65
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,78.06,80.07,78,80.23,77.3,80.45,76.9,80.65
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,77.7,79.93,77,80.15,76.6,80.35
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,77.89,79.93,77.82,80.09,77.15,80.35,76.75,80.55
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,77.99,80,77.92,80.16,77.25,80.4,76.85,80.6
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,77.87,79.92,77.81,80.07,77.1,80.3,76.7,80.5
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,77.97,79.98,77.91,80.14,77.2,80.4,76.8,80.6
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,77.83,79.84,77.77,80,77.1,80.25,76.7,80.45
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,77.84,79.84,77.77,80,77.1,80.25,76.7,80.45
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,77.7,79.74,77.63,79.9,76.95,80.15,76.55,80.35
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,77.49,79.49,77.42,79.65,76.75,79.9,76.35,80.1
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,77.67,79.68,77.61,79.84,76.95,80.1,76.55,80.3
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,77.81,79.82,77.75,79.98,77.05,80.2,76.65,80.4
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,78.23,80.47,77.55,80.70,77.15,80.90
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,78.36,80.41,78.29,80.56,77.60,80.80,77.20,81.00
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,77.79,79.84,77.73,79.99,77.05,80.25,76.65,80.45
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,77.62,79.63,77.55,79.78,76.85,80.05,76.45,80.25
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,77.37,79.37,77.30,79.53,76.60,79.75,76.20,79.95
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,77.32,79.32,77.25,79.48,76.55,79.70,76.15,79.90
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,77.21,79.21,77.15,79.37,76.45,79.60,76.05,79.80
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,76.80,78.83,76.74,78.99,76.05,79.20,75.65,79.40
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,76.77,78.80,76.70,78.96,76.05,79.20,75.65,79.40
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,76.63,78.63,76.57,78.78,75.90,79.00,75.50,79.20
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,76.29,78.28,76.22,78.43,75.55,78.65,75.15,78.85
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,76.35,78.60,75.70,78.85,75.30,79.05
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,76.36,78.39,76.30,78.54,75.65,78.80,75.25,79.00
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,76.49,78.52,76.42,78.67,75.75,78.90,75.35,79.10
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,76.40,78.39,76.33,78.54,75.65,78.80,75.25,79.00
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,76.83,78.86,76.76,79.01,76.10,79.25,75.70,79.45
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,77.08,79.12,77.02,79.27,76.35,79.50,75.95,79.70
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,76.93,78.97,76.87,79.12,76.20,79.35,75.80,79.55
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,77.13,79.17,77.07,79.32,76.40,79.55,76.00,79.75
2020-02-28 12:05,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-28.pdf,78.33,80.39,78.27,80.55,77.60,80.80,77.20,81.00
2020-03-03 12:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-03.pdf,80.20,82.24,80.14,82.41,79.45,82.65,79.05,82.85
2020-03-04 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-04.pdf,80.81,82.90,80.74,83.06,80.05,83.30,79.65,83.50
