DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,92.75,95.24,91.95,95.55,91.50,95.80
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,93.22,95.41,93.14,95.61,92.30,95.90,91.85,96.15
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,93.39,95.63,93.31,95.81,92.5,96.1,92.05,96.35
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,93.44,95.67,93.36,95.86,92.55,96.15,92.1,96.4
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,91.57,93.78,91.5,93.97,90.7,94.25,90.25,94.5
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,91.3,93.47,91.23,93.66,90.45,93.95,90,94.2
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,91.39,93.6,91.31,93.78,90.5,94.05,90.05,94.3
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,91.75,93.93,91.68,94.11,90.9,94.4,90.45,94.65
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,91.28,93.75,90.5,94.05,90.05,94.3
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,91.39,93.56,91.31,93.74,90.5,94.05,90.05,94.3
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,91.51,93.71,91.43,93.9,90.65,94.2,90.2,94.45
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,91.74,93.92,91.66,94.1,90.85,94.4,90.4,94.65
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,92.49,94.68,92.41,94.86,91.6,95.15,91.15,95.4
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,92.52,94.7,92.44,94.89,91.65,95.15,91.2,95.4
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,92.26,94.44,92.18,94.62,91.4,94.9,90.95,95.15
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,92.15,94.33,92.07,94.51,91.25,94.8,90.8,95.05
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,91.69,93.86,91.61,94.05,90.8,94.35,90.35,94.6
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,91.87,94.05,91.8,94.23,91,94.5,90.55,94.75
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,92.52,94.74,92.44,94.93,91.65,95.2,91.2,95.45
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,93.17,95.67,92.35,95.95,91.90,96.20
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,93.17,95.36,93.09,95.54,92.25,95.85,91.80,96.10
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,91.57,93.75,91.50,93.93,90.70,94.20,90.25,94.45
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,91.68,93.85,91.60,94.04,90.80,94.30,90.35,94.55
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,91.47,93.64,91.39,93.82,90.60,94.10,90.15,94.35
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,91.21,93.38,91.13,93.56,90.35,93.85,89.90,94.10
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,91.06,93.23,90.98,93.41,90.20,93.70,89.75,93.95
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,91.01,93.17,90.93,93.36,90.15,93.65,89.70,93.90
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,91.29,93.46,91.21,93.64,90.40,93.95,89.95,94.20
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,91.44,93.61,91.36,93.79,90.55,94.10,90.10,94.35
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,91.96,94.14,91.88,94.32,91.10,94.60,90.65,94.85
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,92.07,94.55,91.25,94.85,90.80,95.10
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,91.77,93.98,91.69,94.16,90.90,94.45,90.45,94.70
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,91.54,93.72,91.47,93.90,90.65,94.20,90.20,94.45
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,91.41,93.58,91.33,93.76,90.55,94.05,90.10,94.30
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,91.95,94.16,91.87,94.35,91.05,94.65,90.60,94.90
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,91.87,94.09,91.79,94.27,91.00,94.55,90.55,94.80
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,92.12,94.30,92.04,94.48,91.25,94.75,90.80,95.00
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,91.48,93.69,91.41,93.87,90.60,94.15,90.15,94.40
