DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2025-09-18 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-18.pdf,0.52,0.55,0.52,0.54,0.52,0.54,0,0
2025-09-19 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-19.pdf,0.52,0.55,0.52,0.54,0.52,0.54,0,0
2025-09-20 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-20.pdf,0.52,0.54,0.52,0.53,0.52,0.53,0,0
2025-09-22 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-22.pdf,0.52,0.54,0.52,0.53,0.52,0.53,0,0
2025-09-23 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-23.pdf,0.52,0.55,0.52,0.54,0.52,0.54,0,0
2025-09-24 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-24.pdf,0.52,0.55,0.52,0.54,0.52,0.54,0,0
2025-09-25 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-25.pdf,0.52,0.54,0.52,0.53,0.52,0.53,0,0
2025-09-26 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-26.pdf,0.52,0.54,0.52,0.53,0.52,0.53,0,0
2025-09-29 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-29.pdf,0.52,0.55,0.52,0.54,0.52,0.54,0,0
2025-09-30 09:30,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/main/pdf_files/2025/9/2025-09-30.pdf,0.52,0.55,0.52,0.54,0.52,0.54,0,0
