DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,65.49,67.39,64.90,67.60,62.40,69.80
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,65.83,67.57,65.78,67.71,65.20,67.90,62.70,70.10
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,65.29,67.01,65.23,67.14,64.65,67.35,62.15,69.55
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,65.64,67.36,65.58,67.49,65,67.7,62.5,69.9
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,63.92,65.59,63.87,65.72,63.3,65.9,60.85,68.05
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,63.84,65.5,63.78,65.63,63.2,65.85,60.75,68
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,63.79,65.46,63.73,65.59,63.15,65.8,60.7,67.95
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,63.6,65.26,63.55,65.39,63,65.6,60.55,67.75
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,63.6,65.44,63.05,65.65,60.6,67.8
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,63.7,65.38,63.65,65.51,63.1,65.7,60.65,67.85
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,63.89,65.56,63.84,65.68,63.3,65.9,60.85,68.05
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,63.86,65.55,63.81,65.68,63.25,65.9,60.8,68.05
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,64.17,65.84,64.11,65.97,63.55,66.15,61.1,68.3
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,64.34,66.03,64.28,66.15,63.7,66.35,61.25,68.5
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,64.71,66.42,64.65,66.55,64.1,66.75,61.65,68.9
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,64.68,66.36,64.62,66.49,64.05,66.7,61.6,68.85
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,64.41,66.09,64.36,66.22,63.8,66.4,61.35,68.55
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,64.76,66.47,64.71,66.6,64.15,66.8,61.7,68.95
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,64.69,66.4,64.64,66.53,64.05,66.75,61.6,68.9
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,65.03,66.92,64.45,67.10,61.95,69.30
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,65.15,66.87,65.09,67.00,64.50,67.20,62.00,69.40
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,64.72,66.42,64.66,66.55,64.10,66.75,61.65,68.90
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,64.26,65.93,64.21,66.06,63.65,66.25,61.20,68.40
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,64.02,65.69,63.97,65.82,63.40,66.00,60.95,68.15
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,64.04,65.71,63.98,65.84,63.40,66.05,60.95,68.20
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,64.23,65.89,64.18,66.02,63.60,66.20,61.15,68.35
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,64.05,65.72,64.00,65.85,63.45,66.05,61.00,68.20
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,64.02,65.69,63.97,65.82,63.40,66.00,60.95,68.15
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,64.15,65.82,64.10,65.95,63.55,66.15,61.10,68.30
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,64.09,65.77,64.04,65.89,63.45,66.10,61.00,68.25
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,64.23,66.09,63.65,66.30,61.20,68.45
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,64.28,65.95,64.23,66.08,63.65,66.30,61.20,68.45
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,63.64,65.28,63.59,65.41,63.05,65.60,60.60,67.75
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,63.22,64.85,63.17,64.98,62.60,65.15,60.20,67.25
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,63.66,65.30,63.60,65.42,63.05,65.65,60.60,67.80
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,64.05,65.69,63.99,65.82,63.45,66.00,61.00,68.15
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,64.08,65.74,64.03,65.87,63.45,66.05,61.00,68.20
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,64.15,65.82,64.10,65.95,63.55,66.15,61.10,68.30
