DATE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2019-08-11 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.10,18.15,0.00
2019-11-30 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.05,18.10,0.00
2019-12-13 09:00,0.00,0.00,0.00,0.00,0.00,0.00,15.95,17.95,0.00
2020-01-09 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,18.60,0.00
2020-01-10 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.60,18.75,0.00
2020-02-27 09:00,0.00,0.00,0.00,0.00,0.00,0.00,15.85,17.90,0.00
2020-02-28 12:05,0.00,0.00,0.00,0.00,0.00,0.00,15.95,17.95,0.00
2020-03-02 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.30,18.35,0.00
2020-03-07 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.35,18.45,0.00
2020-03-09 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.60,18.70,0.00
2020-03-10 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.45,18.55,0.00
2020-03-11 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.75,18.85,0.00
2020-03-30 10:13,0.00,0.00,0.00,0.00,0.00,0.00,16.20,18.30,0.00
2020-03-31 10:13,0.00,0.00,0.00,0.00,0.00,0.00,16.40,18.55,0.00
2020-04-04 10:40,0.00,0.00,0.00,0.00,0.00,0.00,16.40,18.45,0.00
2020-04-07 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.30,18.40,0.00
2020-04-09 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.55,18.70,0.00
2020-04-11 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.80,18.95,0.00
2020-04-13 10:20,0.00,0.00,0.00,0.00,0.00,0.00,16.55,18.60,0.00
2020-04-20 10:25,0.00,0.00,0.00,0.00,0.00,0.00,16.30,18.40,0.00
2020-04-29 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.30,18.40,0.00
2020-04-30 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.25,18.35,0.00
2020-05-09 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,18.65,0.00
2020-05-12 09:00,0.00,0.00,0.00,0.00,0.00,0.00,16.30,18.40,0.00
2020-05-30 10:00,0.00,0.00,0.00,0.00,0.00,0.00,16.25,18.35,0.00
2020-06-02 16:00,0.00,0.00,0.00,0.00,0.00,0.00,16.45,18.55,0.00
2020-06-03 10:00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,18.60,0.00
