DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,8.01,8.23,0.00,0.00,7.60,8.50
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,8.06,8.25,8.05,8.27,0.00,0.00,7.65,8.55
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,8.07,8.26,8.06,8.28,0,0,7.65,8.55
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,8.04,8.23,8.03,8.25,0,0,7.65,8.5
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,7.88,8.07,7.87,8.09,0,0,7.5,8.35
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,7.89,8.08,7.88,8.1,0,0,7.5,8.35
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,7.9,8.09,7.89,8.11,0,0,7.5,8.4
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,7.89,8.08,7.88,8.1,0,0,7.5,8.35
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,7.87,8.08,0,0,7.5,8.35
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,7.9,8.08,7.89,8.1,0,0,7.5,8.35
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,7.87,8.05,7.86,8.07,0,0,7.45,8.35
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,7.83,8.01,7.82,8.03,0,0,7.45,8.3
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,7.84,8.03,7.83,8.04,0,0,7.45,8.3
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,7.84,8.02,7.82,8.03,0,0,7.45,8.3
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,7.79,7.98,7.78,8,0,0,7.4,8.25
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,7.72,7.9,7.71,7.92,0,0,7.3,8.2
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,7.73,7.91,7.72,7.92,0,0,7.35,8.2
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,7.69,7.87,7.68,7.88,0,0,7.3,8.15
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,7.7,7.88,7.69,7.89,0,0,7.3,8.15
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,7.67,7.87,0.00,0.00,7.30,8.15
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,7.69,7.87,7.68,7.89,0.00,0.00,7.30,8.15
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,7.60,7.78,7.59,7.79,0.00,0.00,7.20,8.05
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,7.63,7.81,7.62,7.82,0.00,0.00,7.25,8.10
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,7.66,7.83,7.64,7.85,0.00,0.00,7.25,8.10
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,7.65,7.82,7.63,7.84,0.00,0.00,7.25,8.10
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,7.61,7.78,7.59,7.80,0.00,0.00,7.20,8.05
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,7.60,7.78,7.59,7.80,0.00,0.00,7.20,8.05
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,7.62,7.80,7.61,7.81,0.00,0.00,7.25,8.10
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,7.63,7.81,7.62,7.83,0.00,0.00,7.25,8.10
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,7.62,7.79,7.61,7.81,0.00,0.00,7.20,8.10
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,7.63,7.83,0.00,0.00,7.25,8.10
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,7.60,7.78,7.59,7.79,0.00,0.00,7.20,8.05
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,7.63,7.81,7.62,7.82,0.00,0.00,7.25,8.10
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,7.61,7.78,7.59,7.79,0.00,0.00,7.20,8.05
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,7.60,7.77,7.59,7.79,0.00,0.00,7.20,8.05
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,7.61,7.79,7.60,7.80,0.00,0.00,7.20,8.10
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,7.57,7.75,7.56,7.76,0.00,0.00,7.20,8.05
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,7.54,7.71,7.53,7.72,0.00,0.00,7.15,8.00
2020-02-28 12:05,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-28.pdf,7.54,7.72,7.53,7.73,0.00,0.00,7.15,8.00
2020-03-03 12:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-03.pdf,7.74,7.92,7.73,7.94,0.00,0.00,7.35,8.20
2020-03-04 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-04.pdf,7.82,8.00,7.81,8.02,0.00,0.00,7.40,8.30
2020-03-05 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-05.pdf,7.83,8.01,7.82,8.02,0.00,0.00,7.40,8.30
2020-03-06 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-06.pdf,7.84,8.02,7.83,8.04,0.00,0.00,7.45,8.30
2020-03-12 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-12.pdf,7.48,7.65,7.47,7.67,0.00,0.00,7.10,7.95
2020-03-13 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-13.pdf,7.20,7.36,7.19,7.37,0.00,0.00,6.85,7.65
2020-03-16 15:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-16.pdf,7.18,7.36,7.17,7.37,0.00,0.00,6.85,7.65
2020-03-17 09:32,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-17.pdf,7.18,7.34,7.17,7.35,0.00,0.00,6.85,7.65
2020-03-18 13:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-18.pdf,6.95,7.10,6.94,7.12,0.00,0.00,6.60,7.40
2020-03-19 00:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-19.pdf,6.27,6.40,6.26,6.41,0.00,0.00,5.90,6.65
2020-03-20 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-20.pdf,6.62,6.81,6.61,6.82,0.00,0.00,6.25,7.05
2020-03-21 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-21.pdf,0.00,0.00,6.33,6.48,0.00,0.00,6.00,6.70
2020-03-23 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-23.pdf,6.34,6.56,6.33,6.57,0.00,0.00,6.00,6.80
2020-03-24 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-24.pdf,6.60,6.77,6.59,6.79,0.00,0.00,6.25,7.00
2020-03-26 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-26.pdf,6.96,7.12,6.94,7.14,0.00,0.00,6.60,7.40
2020-03-27 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-27.pdf,7.02,7.23,7.01,7.25,0.00,0.00,6.70,7.50
2020-03-30 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-30.pdf,7.10,7.25,7.09,7.26,0.00,0.00,6.75,7.55
2020-03-31 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-31.pdf,7.08,7.27,7.07,7.28,0.00,0.00,6.75,7.55
2020-04-04 10:40,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-04.pdf,0.00,0.00,7.16,7.34,0.00,0.00,6.85,7.60
2020-04-13 10:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-13.pdf,7.40,7.59,7.39,7.61,0.00,0.00,7.00,7.90
2020-04-20 10:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-20.pdf,7.27,7.43,7.26,7.44,0.00,0.00,6.85,7.70
