DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,19.19,20.27,0.00,0.00,18.65,20.55
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,19.29,20.32,19.27,20.37,0.00,0.00,18.75,20.65
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,19.2,20.22,19.18,20.26,0,018.65,20.55,19.17
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,19.27,20.3,19.26,20.34,0,0,18.7,20.65
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,18.99,20.01,18.98,20.05,0,018.45,20.35,18.96
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,18.96,19.99,18.95,20.03,0,018.45,20.3,18.93
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,19,20.03,18.99,20.07,0,018.45,20.35,18.97
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,19,20.02,18.98,20.06,0,018.45,20.35,18.97
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,18.88,19.95,0,018.35,20.25,18.87
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,19.03,20.05,19.01,20.09,0,0,18.5,20.4
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,19.05,20.08,19.03,20.12,0,0,18.5,20.4
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,19.05,20.07,19.03,20.11,0,0,18.5,20.4
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,19.06,20.09,19.05,20.13,0,018.55,20.45,19.03
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,19.09,20.11,19.07,20.15,0,018.55,20.45,19.06
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,19.13,20.16,19.11,20.2,0,0,18.6,20.5
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,19.11,20.14,19.09,20.18,0,018.55,20.5,19.08
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,19.07,20.09,19.05,20.13,0,018.55,20.45,19.04
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,19.11,20.14,19.1,20.18,0,018.55,20.5,19.08
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,19.02,20.04,19,20.08,0,0,18.5,20.35
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,19.11,20.20,0.00,0.00,18.60,20.50
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,19.17,20.20,19.15,20.24,0.00,0.00,18.60,20.55
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,19.07,20.10,19.06,20.14,0.00,0.00,18.55,20.45
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,19.06,20.09,19.05,20.13,0.00,0.00,18.55,20.45
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,19.07,20.10,19.06,20.14,0.00,0.00,18.55,20.45
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,19.08,20.10,19.06,20.14,0.00,0.00,18.55,20.45
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,1.08,1.15,10.11,10.34,0.00,0.00,18.55,20.50
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,19.07,20.10,19.06,20.14,0.00,0.00,18.55,20.45
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,19.06,20.09,19.05,20.13,0.00,0.00,18.55,20.45
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,19.11,20.14,19.09,20.18,0.00,0.00,18.55,20.50
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,19.09,20.11,19.07,20.15,0.00,0.00,18.55,20.45
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,19.11,20.20,0.00,0.00,18.60,20.50
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,19.11,20.14,19.10,20.18,0.00,0.00,18.55,20.50
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,19.21,20.24,19.19,20.28,0.00,0.00,18.65,20.60
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,19.19,20.22,19.18,20.26,0.00,0.00,18.65,20.55
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,19.25,20.28,19.23,20.32,0.00,0.00,18.70,20.60
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,19.23,20.26,19.21,20.30,0.00,0.00,18.70,20.60
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,19.19,20.22,19.18,20.26,0.00,0.00,18.65,20.55
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,19.17,20.20,19.16,20.24,0.00,0.00,18.65,20.55
2020-02-28 12:05,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-28.pdf,19.30,20.34,19.28,20.38,0.00,0.00,18.75,20.70
2020-03-03 12:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-03.pdf,19.50,20.55,19.49,20.59,0.00,0.00,18.95,20.90
2020-03-04 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-04.pdf,19.62,20.67,19.61,20.71,0.00,0.00,19.05,21.00
2020-03-05 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-05.pdf,19.64,20.69,19.62,20.73,0.00,0.00,19.10,21.05
2020-03-06 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-06.pdf,19.79,20.84,19.77,20.88,0.00,0.00,19.20,21.20
2020-03-12 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-12.pdf,19.86,20.91,19.84,20.95,0.00,0.00,19.30,21.25
2020-03-13 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-13.pdf,19.84,20.90,19.82,20.94,0.00,0.00,19.25,21.25
2020-03-16 15:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-16.pdf,19.84,20.90,19.82,20.94,0.00,0.00,19.25,21.25
2020-03-17 09:32,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-17.pdf,19.86,20.92,19.84,20.96,0.00,0.00,19.30,21.25
2020-03-18 13:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-18.pdf,19.88,20.94,19.86,20.98,0.00,0.00,19.30,21.30
2020-03-19 00:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-19.pdf,20.08,21.15,20.07,21.20,0.00,0.00,19.50,21.50
2020-03-20 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-20.pdf,20.03,21.10,20.02,21.15,0.00,0.00,19.45,21.45
2020-03-21 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-21.pdf,0.00,0.00,20.00,21.12,0.00,0.00,19.45,21.45
2020-03-23 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-23.pdf,20.36,21.45,20.35,21.49,0.00,0.00,19.75,21.80
2020-03-24 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-24.pdf,20.35,21.43,20.33,21.48,0.00,0.00,19.75,21.80
2020-03-26 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-26.pdf,20.20,21.28,20.19,21.32,0.00,0.00,19.60,21.65
2020-03-27 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-27.pdf,19.92,20.98,19.90,21.02,0.00,0.00,19.35,21.35
2020-03-30 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-30.pdf,20.20,21.28,20.19,21.32,0.00,0.00,19.60,21.65
2020-03-31 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-31.pdf,20.20,21.28,20.19,21.32,0.00,0.00,19.60,21.65
2020-04-04 10:40,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-04.pdf,0.00,0.00,20.22,21.46,0.00,0.00,19.65,21.80
2020-04-13 10:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-13.pdf,20.43,21.52,20.42,21.56,0.00,0.00,19.85,21.90
2020-04-20 10:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-20.pdf,20.46,21.54,20.44,21.59,0.00,0.00,19.90,21.90
2020-04-29 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-29.pdf,20.27,21.35,20.25,21.39,0.00,0.00,19.70,21.70
2020-04-30 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-30.pdf,20.11,21.18,20.09,21.22,0.00,0.00,19.55,21.55
2020-05-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/5/2020-05-12.pdf,20.26,21.34,20.24,21.38,0.00,0.00,19.65,21.70
2020-05-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/5/2020-05-30.pdf,0.00,0.00,20.09,21.29,0.00,0.00,19.55,21.60
2020-06-02 16:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-02.pdf,20.12,21.20,20.11,21.24,0.00,0.00,19.55,21.55
2020-06-03 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-03.pdf,20.11,21.18,20.09,21.22,0.00,0.00,19.55,21.55
2020-06-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-04.pdf,20.23,21.30,20.21,21.34,0.00,0.00,19.65,21.65
2020-06-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-05.pdf,20.19,21.26,20.17,21.31,0.00,0.00,19.60,21.65
2020-06-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-06.pdf,0.00,0.00,20.03,21.22,0.00,0.00,19.50,21.55
2020-06-08 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-08.pdf,20.25,21.33,20.24,21.38,0.00,0.00,19.65,21.70
2020-06-09 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-09.pdf,20.22,21.29,20.20,21.34,0.00,0.00,19.65,21.65
2020-06-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-10.pdf,20.22,21.29,20.20,21.34,0.00,0.00,19.65,21.65
2020-06-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-11.pdf,20.28,21.36,20.27,21.41,0.00,0.00,19.70,21.75
2020-06-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-12.pdf,20.36,21.45,20.35,21.49,0.00,0.00,19.75,21.80
2020-06-16 13:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-16.pdf,20.38,21.46,20.36,21.50,0.00,0.00,19.80,21.85
2020-06-17 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-17.pdf,20.42,21.51,20.41,21.55,0.00,0.00,19.85,21.85
2020-06-18 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-18.pdf,20.39,21.47,20.38,21.52,0.00,0.00,19.80,21.85
2020-06-19 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-19.pdf,20.42,21.50,20.40,21.54,0.00,0.00,19.85,21.85
2020-06-20 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-20.pdf,0.00,0.00,20.21,21.44,0.00,0.00,19.65,21.75
2020-06-22 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-22.pdf,20.40,21.49,20.39,21.53,0.00,0.00,19.85,21.85
2020-06-23 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-23.pdf,20.31,21.39,20.29,21.43,0.00,0.00,19.70,21.75
2020-06-24 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-24.pdf,20.25,21.33,20.24,21.38,0.00,0.00,19.65,21.70
2020-06-25 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-25.pdf,20.28,21.36,20.26,21.40,0.00,0.00,19.70,21.70
2020-06-26 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-26.pdf,20.22,21.30,20.21,21.34,0.00,0.00,19.65,21.65
2020-06-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-29.pdf,20.25,21.33,20.23,21.37,0.00,0.00,19.65,21.70
2020-06-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-30.pdf,20.21,21.29,20.19,21.33,0.00,0.00,19.65,21.65
2020-07-01 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-01.pdf,20.22,21.29,20.21,21.33,0.00,0.00,19.65,21.65
2020-07-02 14:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-02.pdf,20.03,21.09,20.01,21.13,0.00,0.00,19.45,21.45
