DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,18.63,19.68,0.00,0.00,18.10,19.95
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,18.72,19.72,18.71,19.76,0.00,0.00,18.20,20.05
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,18.64,19.63,18.62,19.67,0,0,18.1,19.95
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,18.71,19.71,18.69,19.75,0,018.15,20.05,18.68
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,18.43,19.42,18.42,19.46,0,0,17.9,19.75
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,18.41,19.4,18.4,19.43,0,0,17.9,19.7
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,18.45,19.43,18.43,19.47,0,0,17.9,19.75
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,18.44,19.43,18.43,19.47,0,0,17.9,19.75
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,18.43,19.47,0,0,17.9,19.75
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,18.47,19.45,18.45,19.49,0,017.95,19.8,18.44
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,18.49,19.48,18.48,19.52,0,017.95,19.8,18.46
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,18.49,19.48,18.47,19.51,0,017.95,19.8,18.46
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,18.51,19.5,18.49,19.53,0,0,18,19.85
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,18.53,19.52,18.52,19.56,0,0,18,19.85
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,18.56,19.55,18.55,19.59,0,018.05,19.9,18.53
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,18.55,19.54,18.54,19.58,0,0,18,19.85
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,18.51,19.5,18.49,19.54,0,0,18,19.85
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,18.55,19.54,18.54,19.58,0,0,18,19.85
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,18.57,19.56,18.55,19.6,0,018.05,19.9,18.54
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,18.55,19.60,0.00,0.00,18.05,19.90
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,18.60,19.60,18.59,19.63,0.00,0.00,18.05,19.95
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,18.51,19.50,18.50,19.54,0.00,0.00,18.00,19.85
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,18.51,19.49,18.49,19.53,0.00,0.00,18.00,19.85
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,18.51,19.50,18.50,19.54,0.00,0.00,18.00,19.85
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,18.52,19.51,18.50,19.55,0.00,0.00,18.00,19.85
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,18.55,19.54,18.54,19.58,0.00,0.00,18.00,19.85
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,18.52,19.51,18.50,19.55,0.00,0.00,18.00,19.85
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,18.51,19.50,18.50,19.54,0.00,0.00,18.00,19.85
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,18.56,19.55,18.54,19.58,0.00,0.00,18.00,19.90
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,18.53,19.52,18.52,19.56,0.00,0.00,18.00,19.85
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,18.56,19.60,0.00,0.00,18.05,19.90
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,18.56,19.55,18.54,19.59,0.00,0.00,18.00,19.90
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,18.65,19.64,18.63,19.68,0.00,0.00,18.10,19.95
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,18.64,19.63,18.62,19.67,0.00,0.00,18.10,19.95
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,18.69,19.68,18.67,19.72,0.00,0.00,18.15,20.00
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,18.67,19.67,18.65,19.71,0.00,0.00,18.15,20.00
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,18.63,19.62,18.61,19.66,0.00,0.00,18.10,19.95
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,18.61,19.60,18.59,19.64,0.00,0.00,18.10,19.95
2020-02-28 12:05,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-28.pdf,18.73,19.73,18.72,19.77,0.00,0.00,18.20,20.05
2020-03-03 12:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-03.pdf,18.93,19.94,18.92,19.98,0.00,0.00,18.40,20.25
2020-03-04 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-04.pdf,19.05,20.06,19.03,20.10,0.00,0.00,18.50,20.40
2020-03-05 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-05.pdf,19.06,20.07,19.04,20.11,0.00,0.00,18.50,20.40
2020-03-06 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-06.pdf,19.20,20.22,19.18,20.26,0.00,0.00,18.65,20.55
2020-03-12 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-12.pdf,19.27,20.29,19.25,20.33,0.00,0.00,18.70,20.65
2020-03-13 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-13.pdf,19.25,20.27,19.23,20.31,0.00,0.00,18.70,20.60
2020-03-16 15:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-16.pdf,19.25,20.27,19.23,20.31,0.00,0.00,18.70,20.60
2020-03-17 09:32,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-17.pdf,19.26,20.29,19.25,20.33,0.00,0.00,18.70,20.65
2020-03-18 13:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-18.pdf,19.30,20.32,19.28,20.36,0.00,0.00,18.75,20.65
2020-03-19 00:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-19.pdf,19.49,20.53,19.48,20.57,0.00,0.00,18.95,20.90
2020-03-20 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-20.pdf,19.39,20.44,19.38,20.48,0.00,0.00,18.85,20.80
2020-03-21 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-21.pdf,0.00,0.00,19.51,20.60,0.00,0.00,19.00,20.90
2020-03-23 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-23.pdf,19.75,20.82,19.74,20.86,0.00,0.00,19.20,21.15
2020-03-24 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-24.pdf,19.73,20.78,19.71,20.82,0.00,0.00,19.15,21.15
2020-03-26 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-26.pdf,19.58,20.63,19.56,20.67,0.00,0.00,19.00,21.00
2020-03-27 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-27.pdf,19.31,20.34,19.29,20.38,0.00,0.00,18.75,20.70
2020-03-30 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-30.pdf,19.58,20.62,19.57,20.66,0.00,0.00,19.00,20.95
2020-03-31 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-31.pdf,19.58,20.62,19.57,20.66,0.00,0.00,19.00,20.95
2020-04-04 10:40,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-04.pdf,0.00,0.00,19.75,20.85,0.00,0.00,19.20,21.15
2020-04-13 10:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-13.pdf,19.77,20.83,19.76,20.87,0.00,0.00,19.20,21.20
2020-04-20 10:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-20.pdf,19.83,20.88,19.81,20.92,0.00,0.00,19.25,21.25
2020-04-29 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-29.pdf,19.63,20.68,19.62,20.72,0.00,0.00,19.10,21.05
2020-04-30 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-30.pdf,19.48,20.52,19.47,20.56,0.00,0.00,18.95,20.85
2020-05-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/5/2020-05-12.pdf,19.63,20.67,19.61,20.71,0.00,0.00,19.05,21.00
2020-05-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/5/2020-05-30.pdf,0.00,0.00,19.59,20.70,0.00,0.00,19.05,21.00
2020-06-02 16:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-02.pdf,19.52,20.56,19.50,20.60,0.00,0.00,18.95,20.90
2020-06-03 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-03.pdf,19.51,20.55,19.49,20.59,0.00,0.00,18.95,20.90
2020-06-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-04.pdf,19.62,20.67,19.60,20.71,0.00,0.00,19.05,21.00
2020-06-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-05.pdf,19.58,20.61,19.56,20.66,0.00,0.00,19.00,20.95
2020-06-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-06.pdf,0.00,0.00,19.60,20.71,0.00,0.00,19.05,21.00
2020-06-08 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-08.pdf,19.64,20.68,19.63,20.72,0.00,0.00,19.05,21.05
2020-06-09 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-09.pdf,19.62,20.66,19.61,20.70,0.00,0.00,19.05,21.00
2020-06-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-10.pdf,19.62,20.66,19.61,20.70,0.00,0.00,19.05,21.00
2020-06-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-11.pdf,19.68,20.73,19.67,20.77,0.00,0.00,19.10,21.10
2020-06-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-12.pdf,19.76,20.81,19.75,20.85,0.00,0.00,19.20,21.15
2020-06-16 13:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-16.pdf,19.78,20.82,19.76,20.87,0.00,0.00,19.20,21.20
2020-06-17 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-17.pdf,19.83,20.87,19.81,20.91,0.00,0.00,19.25,21.20
2020-06-18 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-18.pdf,19.79,20.84,19.78,20.88,0.00,0.00,19.20,21.20
2020-06-19 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-19.pdf,19.82,20.87,19.80,20.91,0.00,0.00,19.25,21.20
2020-06-20 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-20.pdf,0.00,0.00,19.80,20.91,0.00,0.00,19.25,21.25
2020-06-22 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-22.pdf,19.80,20.85,19.79,20.89,0.00,0.00,19.25,21.20
2020-06-23 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-23.pdf,19.71,20.76,19.70,20.80,0.00,0.00,19.15,21.10
2020-06-24 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-24.pdf,19.66,20.70,19.64,20.74,0.00,0.00,19.10,21.05
