DATE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2019-08-11 09:00,7.31,7.48,7.30,7.49,0.00,0.00,6.90,7.75,7.28
2019-11-30 09:00,0.00,0.00,7.40,7.60,0.00,0.00,7.00,7.85,7.38
2019-12-13 09:00,7.47,7.64,7.46,7.66,0.00,0.00,7.10,7.95,7.44
2020-01-09 09:00,8.39,8.59,8.38,8.60,0.00,0.00,8.00,8.95,8.36
2020-01-10 09:00,8.14,8.34,8.13,8.35,0.00,0.00,7.75,8.65,8.11
2020-02-27 09:00,7.29,7.45,7.27,7.46,0.00,0.00,6.90,7.75,7.26
2020-02-28 12:05,7.35,7.51,7.34,7.53,0.00,0.00,6.95,7.80,7.32
2020-03-02 09:00,7.35,7.52,7.34,7.54,0.00,0.00,6.95,7.80,7.32
2020-03-07 09:00,7.95,8.13,7.94,8.15,0.00,0.00,7.55,8.40,7.92
2020-03-09 09:00,8.31,8.51,8.30,8.53,0.00,0.00,7.90,8.85,8.28
2020-03-10 09:00,0.00,0.00,8.08,8.30,0.00,0.00,7.70,8.60,8.06
2020-03-11 09:00,8.25,8.44,8.24,8.46,0.00,0.00,7.85,8.80,8.22
2020-03-30 10:13,7.51,7.68,7.50,7.69,0.00,0.00,7.10,7.95,7.48
2020-03-31 10:13,7.42,7.60,7.41,7.62,0.00,0.00,7.05,7.90,7.39
2020-04-04 10:40,0.00,0.00,7.35,7.61,0.00,0.00,6.95,7.90,7.33
2020-04-07 09:00,0.00,0.00,7.91,8.14,0.00,0.00,7.55,8.40,7.90
2020-04-09 09:00,8.32,8.52,8.31,8.54,0.00,0.00,7.90,8.85,8.29
2020-04-11 09:00,8.31,8.52,8.30,8.54,0.00,0.00,7.90,8.85,8.28
2020-04-13 10:20,7.59,7.77,7.58,7.78,0.00,0.00,7.20,8.05,7.56
2020-04-20 10:25,7.56,7.73,7.55,7.75,0.00,0.00,7.15,8.00,7.53
2020-04-29 09:00,7.59,7.76,7.58,7.77,0.00,0.00,7.20,8.05,7.56
2020-04-30 09:00,7.55,7.71,7.53,7.73,0.00,0.00,7.15,8.00,7.52
2020-05-09 09:00,0.00,0.00,8.25,8.51,0.00,0.00,7.85,8.85,8.23
2020-05-12 09:00,7.61,7.78,7.60,7.79,0.00,0.00,7.20,8.05,7.58
2020-05-30 10:00,0.00,0.00,7.91,8.14,0.00,0.00,7.55,8.40,7.89
2020-06-02 16:00,7.96,8.14,7.94,8.16,0.00,0.00,7.55,8.45,7.93
2020-06-03 10:00,7.99,8.18,7.98,8.19,0.00,0.00,7.60,8.45,7.96
2020-06-04 09:00,8.02,8.20,8.01,8.22,0.00,0.00,7.60,8.50,7.99
2020-06-05 09:00,8.11,8.30,8.10,8.32,0.00,0.00,7.70,8.60,8.08
2020-06-06 09:00,0.00,0.00,8.11,8.36,0.00,0.00,7.70,8.65,8.09
2020-06-08 10:00,8.15,8.34,8.14,8.36,0.00,0.00,7.75,8.65,8.12
2020-06-09 10:00,8.11,8.30,8.10,8.31,0.00,0.00,7.70,8.60,8.08
2020-06-10 09:00,8.12,8.31,8.11,8.33,0.00,0.00,7.70,8.60,8.09
2020-06-11 09:00,8.13,8.31,8.12,8.33,0.00,0.00,7.75,8.60,8.10
2020-06-12 09:00,8.07,8.25,8.05,8.27,0.00,0.00,7.65,8.55,8.04
2020-06-16 09:50,8.10,8.29,8.09,8.30,0.00,0.00,7.70,8.60,8.07
2020-06-16 13:30,8.11,8.30,8.10,8.31,0.00,0.00,7.70,8.60,8.08
2020-06-17 09:50,8.04,8.22,8.03,8.24,0.00,0.00,7.65,8.50,8.01
2020-06-18 09:50,8.08,8.26,8.06,8.27,0.00,0.00,7.70,8.55,8.05
2020-06-19 09:50,8.01,8.19,8.00,8.21,0.00,0.00,7.60,8.50,7.98
2020-06-20 10:00,0.00,0.00,7.95,8.16,0.00,0.00,7.55,8.45,7.93
2020-06-22 10:00,7.99,8.17,7.98,8.18,0.00,0.00,7.60,8.45,7.96
2020-06-23 10:00,8.01,8.19,8.00,8.21,0.00,0.00,7.60,8.50,7.98
2020-06-24 10:00,8.07,8.25,8.06,8.27,0.00,0.00,7.65,8.55,8.04
2020-06-25 09:50,7.99,8.17,7.98,8.19,0.00,0.00,7.60,8.45,7.96
2020-06-26 10:00,8.02,8.20,8.01,8.22,0.00,0.00,7.60,8.50,7.99
2020-06-29 10:00,8.04,8.22,8.02,8.24,0.00,0.00,7.65,8.50,8.01
2020-06-30 10:00,8.00,8.19,7.99,8.20,0.00,0.00,7.60,8.50,7.97
2020-07-01 10:00,8.01,8.19,8.00,8.21,0.00,0.00,7.60,8.50,7.98
2020-07-02 09:50,8.03,8.22,8.02,8.23,0.00,0.00,7.65,8.50,8.00
2020-07-02 14:20,8.00,8.18,7.99,8.20,0.00,0.00,7.60,8.45,7.97
2020-07-13 09:50,8.11,8.29,8.10,8.31,0.00,0.00,7.70,8.60,8.08
2020-07-14 09:50,8.10,8.28,8.09,8.30,0.00,0.00,7.70,8.60,8.07
2020-07-15 10:00,8.20,8.39,8.19,8.41,0.00,0.00,7.80,8.70,8.17
2020-07-16 10:00,8.17,8.36,8.16,8.38,0.00,0.00,7.75,8.65,8.14
2020-07-17 09:50,8.20,8.38,8.18,8.40,0.00,0.00,7.80,8.65,8.17
2020-07-18 09:50,0.00,0.00,8.20,8.41,0.00,0.00,7.80,8.70,8.18
2020-07-20 09:00,8.21,8.40,8.20,8.42,0.00,0.00,7.80,8.70,8.18
2020-07-21 10:00,8.24,8.44,8.23,8.45,0.00,0.00,7.85,8.80,8.21
2020-07-22 10:00,8.32,8.51,8.31,8.53,0.00,0.00,7.90,8.85,8.29
2020-07-23 10:00,8.32,8.52,8.31,8.53,0.00,0.00,7.90,8.85,8.29
2020-07-24 10:00,8.37,8.57,8.36,8.58,0.00,0.00,7.95,8.90,8.34
2020-07-27 09:50,8.40,8.60,8.39,8.62,0.00,0.00,8.00,8.95,8.37
2020-07-27 13:30,8.43,8.63,8.42,8.64,0.00,0.00,8.00,8.95,8.40
2020-07-28 09:50,8.44,8.64,8.43,8.66,0.00,0.00,8.05,9.00,8.41
2020-07-29 09:50,8.44,8.64,8.42,8.65,0.00,0.00,8.05,9.00,8.41
2020-07-30 09:50,8.48,8.67,8.46,8.69,0.00,0.00,8.05,9.00,8.45
2020-07-31 09:50,8.53,8.73,8.52,8.75,0.00,0.00,8.10,9.05,8.50
2020-08-03 10:00,8.43,8.63,8.42,8.65,0.00,0.00,8.00,9.00,8.40
2020-08-04 10:00,8.51,8.71,8.50,8.72,0.00,0.00,8.10,9.05,8.48
2020-08-05 10:00,8.51,8.71,8.50,8.73,0.00,0.00,8.10,9.05,8.48
2020-08-06 10:00,8.54,8.75,8.53,8.77,0.00,0.00,8.10,9.10,8.51
2020-08-07 09:00,8.03,8.22,8.02,8.23,0.00,0.00,7.65,8.50,8.00
2020-08-10 10:00,8.47,8.68,8.46,8.70,0.00,0.00,8.05,9.00,8.44
2020-08-11 09:50,8.46,8.67,8.45,8.68,0.00,0.00,8.05,9.00,8.43
2020-08-12 09:50,8.42,8.61,8.40,8.63,0.00,0.00,8.00,8.95,8.39
2020-08-13 09:50,8.53,8.73,8.52,8.75,0.00,0.00,8.10,9.10,8.50
2020-08-14 09:50,8.52,8.73,8.51,8.74,0.00,0.00,8.10,9.05,8.49
2020-08-25 12:00,8.37,8.56,8.35,8.58,0.00,0.00,7.95,8.90,8.34
2020-08-26 09:50,8.38,8.58,8.37,8.60,0.00,0.00,8.00,8.95,8.35
2020-08-27 12:15,8.38,8.58,8.37,8.60,0.00,0.00,8.00,8.90,8.35
2020-08-28 11:30,8.36,8.56,8.35,8.57,0.00,0.00,7.95,8.90,8.33
2020-08-29 10:00,0.00,0.00,8.38,8.60,0.00,0.00,8.00,8.95,8.36
2020-08-31 09:00,8.42,8.62,8.41,8.64,0.00,0.00,8.00,8.95,8.39
2020-09-02 10:00,8.32,8.52,8.31,8.54,0.00,0.00,7.90,8.85,8.29
2020-09-07 09:00,8.09,8.28,8.08,8.30,0.00,0.00,7.70,8.55,8.06
