DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,52.52,53.90,0.00,0.00,50.05,55.80
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,52.76,54.00,52.72,54.12,0.00,0.00,50.25,56.00
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,52.58,53.84,52.53,53.94,0,050.05,55.85,52.5
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,52.71,53.95,52.66,54.05,0,050.15,55.95,52.63
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,51.97,53.2,51.93,53.31,0,049.45,55.2,51.89
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,52.03,53.27,51.99,53.37,0,0,49.5,55.3
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,52.1,53.32,52.06,53.43,0,0,49.6,55.35
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,52.13,53.37,52.08,53.47,0,0,49.6,55.4
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,52.06,53.45,0,0,49.6,55.35
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,52.16,53.42,52.12,53.53,0,049.65,55.45,52.08
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,52.17,53.41,52.13,53.51,0,049.65,55.4,52.09
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,52.14,53.36,52.1,53.46,0,049.65,55.4,52.06
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,52.23,53.45,52.18,53.55,0,0,49.7,55.45
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,52.22,53.46,52.18,53.56,0,0,49.7,55.5
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,52.19,53.4,52.14,53.5,0,049.65,55.4,52.11
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,51.99,53.2,51.94,53.3,0,0,49.5,55.2
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,51.87,53.1,51.83,53.2,0,049.35,55.1,51.79
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,51.81,53.03,51.76,53.13,0,0,49.3,55.05
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,51.89,53.11,51.84,53.21,0,0,49.4,55.1
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,51.70,53.09,0.00,0.00,49.25,55.00
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,51.74,52.96,51.70,53.06,0.00,0.00,49.25,54.95
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,51.40,52.60,51.35,52.71,0.00,0.00,48.95,54.55
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,51.00,52.20,50.96,52.30,0.00,0.00,48.55,54.15
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,50.86,52.05,50.82,52.15,0.00,0.00,48.40,54.00
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,50.86,52.05,50.81,52.15,0.00,0.00,48.40,54.00
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,50.81,51.97,50.76,52.07,0.00,0.00,48.35,53.95
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,50.77,51.96,50.73,52.06,0.00,0.00,48.30,53.90
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,50.84,52.03,50.80,52.13,0.00,0.00,48.40,54.00
