DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,71.29,72.34,70.70,72.55,70.40,72.70
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,71.65,72.50,71.59,72.65,71.00,72.85,70.70,73.00
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,71.32,72.17,71.26,72.31,70.7,72.55,70.4,72.7
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,71.6,72.45,71.54,72.59,70.9,72.8,70.6,72.9
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,70.55,71.4,70.49,71.54,69.9,71.75,69.6,71.9
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,70.45,71.3,70.39,71.44,69.8,71.65,69.5,71.8
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,70.6,71.45,70.54,71.59,69.9,71.8,69.6,71.9
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,70.58,71.43,70.52,71.57,69.9,71.8,69.6,71.9
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,70.54,71.59,69.9,71.8,69.6,71.9
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,70.68,71.53,70.62,71.67,70,71.9,69.7,72
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,70.77,71.62,70.71,71.76,70.1,72,69.8,72.1
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,70.76,71.61,70.7,71.75,70.1,71.95,69.8,72.1
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,70.82,71.67,70.76,71.81,70.2,72.05,69.9,72.2
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,70.92,71.77,70.86,71.91,70.3,72.15,70,72.3
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,71.05,71.9,70.99,72.04,70.4,72.25,70.1,72.4
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,70.99,71.84,70.93,71.98,70.3,72.2,70,72.3
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,70.83,71.68,70.77,71.82,70.2,72.05,69.9,72.2
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,71,71.85,70.94,71.99,70.3,72.2,70,72.3
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,71.06,71.91,71,72.05,70.4,72.25,70.1,72.4
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,70.99,72.04,70.40,72.25,70.10,72.40
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,71.20,72.05,71.14,72.19,70.50,72.40,70.20,72.50
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,70.85,71.70,70.79,71.84,70.20,72.05,69.90,72.20
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,70.82,71.67,70.76,71.81,70.20,72.05,69.90,72.20
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,70.85,71.70,70.79,71.84,70.20,72.05,69.90,72.20
