DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,4.88,5.16,0.00,0.00,4.65,5.25
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,4.90,5.17,4.89,5.18,0.00,0.00,4.70,5.25
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,4.93,5.19,4.92,5.2,0,0,4.7,5.3
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,4.89,5.16,4.88,5.17,0,0,4.7,5.25
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,4.86,5.12,4.85,5.13,0,0,4.65,5.2
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,4.82,5.08,4.81,5.09,0,0,4.6,5.2
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,4.8,5.06,4.8,5.07,0,0,4.6,5.15
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,4.8,5.06,4.79,5.07,0,0,4.6,5.15
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,4.78,5.05,0,0,4.55,5.15
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,4.8,5.06,4.79,5.07,0,0,4.6,5.15
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,4.77,5.03,4.76,5.04,0,0,4.55,5.1
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,4.8,5.06,4.79,5.07,0,0,4.6,5.15
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,4.84,5.11,4.83,5.12,0,0,4.65,5.2
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,4.83,5.09,4.82,5.1,0,0,4.6,5.2
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,4.82,5.08,4.81,5.09,0,0,4.6,5.2
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,4.76,5.02,4.75,5.03,0,0,4.55,5.1
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,4.78,5.03,4.77,5.04,0,0,4.55,5.15
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,4.75,5.01,4.74,5.02,0,0,4.55,5.1
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,4.72,4.97,4.71,4.98,0,0,4.5,5.05
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,4.63,4.90,0.00,0.00,4.45,5.00
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,4.66,4.91,4.65,4.92,0.00,0.00,4.45,5.00
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,4.69,4.94,4.68,4.95,0.00,0.00,4.45,5.05
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,4.68,4.93,4.67,4.94,0.00,0.00,4.45,5.05
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,4.70,4.96,4.70,4.97,0.00,0.00,4.50,5.05
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,4.66,4.91,4.65,4.92,0.00,0.00,4.45,5.00
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,4.64,4.89,4.63,4.90,0.00,0.00,4.40,5.00
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,4.64,4.89,4.63,4.90,0.00,0.00,4.45,5.00
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,4.70,4.95,4.69,4.96,0.00,0.00,4.50,5.05
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,4.68,4.93,4.67,4.94,0.00,0.00,4.45,5.05
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,4.66,4.91,4.65,4.92,0.00,0.00,4.45,5.00
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,4.66,4.93,0.00,0.00,4.45,5.00
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,4.63,4.88,4.62,4.89,0.00,0.00,4.40,5.00
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,4.64,4.89,4.63,4.90,0.00,0.00,4.45,5.00
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,4.63,4.88,4.62,4.89,0.00,0.00,4.40,4.95
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,4.65,4.90,4.64,4.91,0.00,0.00,4.45,5.00
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,4.63,4.88,4.62,4.89,0.00,0.00,4.40,5.00
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,4.59,4.84,4.58,4.85,0.00,0.00,4.35,4.95
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,4.56,4.81,4.55,4.82,0.00,0.00,4.35,4.90
2020-02-28 12:05,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-28.pdf,4.49,4.74,4.48,4.74,0.00,0.00,4.35,4.85
