Date,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,IDR,JPY,KES,KRW,KWD,LKR,MYR,NOK,NZD,OMR,PKR,QAR,RUB,SAR,SEK,SGD,THB,TRY,USD,ZAR
2020-01-31,18.96,47.25,,184.8,53.49,72.7,,10.42,77.81,92.52,9.09,,64.69,,,229.1,,,7.7,45.69,180.9,,19.02,,18.57,7.33,51.89,,,71.06,4.72
2020-02-29,19.14,46.28,,186.46,53.01,73.54,,10.5,78.33,91.85,9.14,,65.43,,,229.67,,,7.54,44.38,182.58,,19.3,,18.73,7.35,51.03,,,71.7,4.49
2020-03-31,20.03,45.86,,198.67,52.65,77.57,,11.01,82.14,92.05,9.62,,68.76,,,233.5,,,7.08,44.77,191.06,,20.2,,19.58,7.42,52.41,,,75.05,4.1
2020-04-30,19.94,48.48,,193.49,53.55,76.03,,10.81,80.56,92.52,9.58,,69.62,,,236.43,,,7.21,45.45,190.15,,20.11,,19.48,7.55,52.68,,,74.7,4.03
2020-05-31,20.08,48.31,,195.17,53.37,76.82,,10.85,80.82,92.29,9.65,,69.46,,,238.46,,,7.28,45.41,191.55,,20.26,,19.63,7.61,52.83,,,75.25,3.99
2020-06-30,20.04,51.2,,194.73,54.64,78.25,,11.26,83.79,91.82,9.63,,69.2,,,239.11,,,7.72,47.86,191.19,,20.21,,19.62,8.0,53.59,,,75.08,4.26
2020-07-31,19.84,53.12,,193.33,55.03,81.35,,11.8,87.84,97.06,9.53,,70.78,,,238.49,,,8.17,49.41,189.32,,20.01,,19.43,8.53,53.96,,,74.35,4.35
2020-08-31,19.54,53.29,,190.33,55.58,80.31,,11.63,86.52,97.03,9.38,,68.77,,,234.91,,,8.26,48.82,186.38,,19.7,,19.13,8.42,53.51,,,73.2,4.32
2020-09-30,19.59,51.71,,190.79,54.41,79.05,,11.49,85.55,93.7,9.41,,69.06,,,234.9,,,7.73,47.97,186.9,,19.76,,19.18,8.12,53.28,,,73.4,4.24
2020-10-31,19.66,51.56,,191.5,55.09,80.27,,11.55,85.99,95.23,9.44,,69.98,,,236.03,,,7.84,48.57,187.52,,19.83,,19.25,8.28,53.74,,,73.65,4.41
2020-11-30,19.59,53.66,,190.86,56.08,80.41,,11.68,86.99,97.64,9.41,,70.12,,,235.62,,,8.23,51.13,186.92,,19.76,,19.19,8.57,54.54,,,73.41,4.73
2020-12-31,19.43,55.54,,189.27,56.76,81.79,,11.94,88.88,98.56,9.33,,70.03,,,234.28,,,8.47,52.19,185.35,,19.59,,19.02,8.81,54.73,,,72.79,4.88
2021-01-31,19.37,55.02,,188.7,56.05,80.87,,11.73,87.24,98.93,9.3,,68.97,,,234.71,,,8.35,51.57,184.81,,19.54,,18.97,8.62,54.2,,,72.58,4.66
2021-02-28,19.54,56.62,,190.31,57.59,80.22,,11.85,88.17,101.42,9.38,,68.3,,,236.76,,,8.52,53.22,186.38,,19.7,,19.13,8.72,54.79,,,73.2,4.8
2021-03-31,19.44,55.04,,189.42,57.48,76.72,,11.44,85.02,99.8,9.31,,65.45,,,236.09,,,8.5,50.59,185.51,,19.61,,19.04,8.32,53.9,,,72.85,4.83
2021-04-30,19.68,56.9,,191.78,59.69,80.43,,11.94,88.8,102.29,9.44,,67.28,,,239.97,,,8.94,53.1,187.8,,19.85,,19.27,8.75,55.28,,,73.75,5.06
2021-05-31,19.22,55.15,,187.19,59.21,79.38,,11.74,87.3,101.63,9.22,,65.21,,,234.39,,,8.56,51.88,183.34,,19.24,,18.82,8.61,54.11,,,72.0,5.12
2021-06-30,19.71,55.06,,192.04,59.2,79.49,,11.74,87.33,101.73,9.45,,66.39,,,240.13,,,8.58,51.33,188.05,,19.51,,19.3,8.61,54.62,,,73.85,5.05
2021-07-31,19.77,53.97,,192.43,58.54,79.96,188.69,11.66,86.67,101.3,9.47,,66.67,4.93,,241.13,,,8.3,51.23,188.5,,19.94,,19.36,8.48,54.15,,,74.08,4.89
2021-08-31,19.44,52.74,,189.44,57.41,78.93,188.69,11.51,85.53,99.8,9.3,,65.86,4.93,,237.16,,,8.36,50.85,185.36,,19.29,,19.04,8.4,53.88,,,72.85,4.87
2021-09-30,19.71,52.73,,192.04,57.63,78.48,188.69,11.45,85.15,98.81,9.42,,65.55,4.93,,239.71,,,8.38,50.44,187.92,,19.69,,19.3,8.34,53.94,,,73.85,4.78
2021-10-31,19.86,55.69,,193.47,59.86,80.91,188.69,11.61,86.3,102.08,9.5,,65.05,4.93,,241.58,,,8.86,53.08,189.45,,20.03,,19.44,8.69,55.03,,,74.4,4.82
2021-11-30,19.88,52.75,,193.71,58.11,79.85,188.69,11.23,83.48,98.79,9.49,,65.09,4.93,,241.01,,,8.21,50.51,189.7,,19.94,,19.47,8.12,54.06,,,74.5,4.52
2021-12-31,19.76,53.2,,192.54,57.74,80.31,188.69,11.2,83.23,99.41,9.44,,63.92,4.93,,239.67,,,8.35,50.13,188.56,,19.93,,19.33,8.14,54.49,,,74.05,4.55
2022-01-31,19.83,51.86,,193.23,58.02,79.17,188.69,11.1,82.51,99.34,9.47,,63.97,4.93,,240.13,,,8.25,48.52,189.19,,20.0,,19.41,7.88,54.55,,,74.3,4.68
2022-02-28,20.0,53.48,,194.88,58.35,80.5,188.69,11.19,83.23,99.72,9.53,,64.46,4.93,,242.12,,,8.37,49.95,190.86,,20.03,,19.59,7.84,54.85,,,74.95,4.76
2022-03-31,20.1,55.85,,195.84,59.78,80.77,188.69,11.23,83.49,98.18,9.56,,61.2,4.93,,242.63,,,8.7,51.97,191.62,,20.13,,19.68,8.09,55.32,,,75.32,5.08
2022-04-30,20.28,53.81,,197.6,59.26,77.67,188.69,10.71,79.57,94.62,9.62,,58.0,4.93,,242.8,,,8.11,49.13,193.5,,20.38,,19.86,7.74,54.72,,,76.0,4.68
2022-05-31,20.62,54.96,,200.85,60.59,79.84,188.69,11.05,82.12,96.72,9.78,,59.99,4.93,,247.27,,,8.15,49.94,196.7,,20.64,,20.19,7.83,56.02,,,77.25,4.85
2022-06-30,20.95,53.62,,204.12,60.57,81.64,188.69,10.97,81.48,94.67,9.94,,57.14,4.93,,250.65,,,7.9,48.43,199.89,,20.93,,20.51,7.64,56.11,,,78.5,4.74
2022-07-31,21.04,54.83,,205.0,61.21,82.13,188.69,10.77,80.02,95.67,9.98,,59.03,4.93,,251.92,,,8.1,49.35,200.74,,20.97,,20.58,7.73,56.88,,,78.85,4.7
2022-08-31,21.11,54.26,,205.65,60.51,80.83,188.69,10.6,78.69,92.22,10.01,,56.81,4.93,,251.73,,,8.1,48.36,201.39,,21.14,,20.64,7.4,56.33,,,79.1,4.62
2022-09-30,21.67,52.18,,211.17,58.89,82.57,188.69,10.65,79.02,89.53,10.28,,55.83,4.93,,256.85,,,7.54,46.05,206.79,,21.59,,21.18,7.23,56.36,,,81.22,4.42
2022-10-31,21.96,52.12,,213.94,59.99,81.7,188.69,10.92,81.08,94.4,10.41,,55.2,4.93,,260.27,,,7.91,47.43,209.5,,21.94,,21.47,7.46,57.86,,,82.28,4.41
2022-11-30,21.68,53.81,,211.21,59.51,84.53,188.69,11.24,83.42,96.66,10.34,,58.2,4.93,,258.71,,,8.08,50.04,206.83,,21.72,,21.19,7.64,58.84,,,81.24,4.69
2022-12-31,21.96,55.22,,213.94,60.37,88.44,188.69,11.73,87.1,98.54,10.49,,61.7,4.93,,263.76,,,8.27,51.64,209.39,,22.0,,21.46,7.83,60.84,,,82.3,4.74
2023-01-31,21.67,56.63,,211.11,60.21,87.07,188.69,11.78,87.44,99.66,10.29,,62.01,4.93,,260.62,,,8.09,52.0,206.73,,21.7,,21.2,7.76,61.44,,,81.2,4.57
2023-02-28,21.96,54.93,,213.97,60.24,87.22,188.69,11.65,86.57,98.58,10.42,,60.08,4.93,,262.64,,,7.91,50.28,209.53,,22.03,,21.49,7.87,60.71,,,82.3,4.38
2023-03-31,21.81,54.34,,212.46,60.06,88.67,188.69,11.89,88.45,100.63,10.34,,61.14,4.93,,261.2,,,7.82,50.91,208.05,,21.82,,21.34,7.84,61.21,,,81.72,4.49
2023-04-30,21.71,53.4,,211.47,59.44,90.18,188.69,11.95,89.03,101.63,10.3,,59.35,4.93,,260.14,,,7.61,49.9,206.96,,21.84,,21.26,7.88,60.59,,,81.35,4.36
